2021-03-03 09:36:30.170  WARN 16528 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-03-03 09:36:56.237 TRACE 16528 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [3] as [BIGINT] - [36]
2021-03-03 09:36:56.240 DEBUG 16528 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select chat0_.id as id1_0_, chat0_.nickname as nickname2_0_, chat0_.sessione as sessione3_0_ from chat chat0_
2021-03-03 09:37:03.356 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select chat0_.id as id1_0_, chat0_.nickname as nickname2_0_, chat0_.sessione as sessione3_0_ from chat chat0_ where chat0_.nickname=?
2021-03-03 09:37:03.357 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [MATTEO]
2021-03-03 09:37:03.359 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2021-03-03 09:37:03.360 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2021-03-03 09:37:03.362 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : insert into chat (nickname, sessione, id) values (?, ?, ?)
2021-03-03 09:37:03.363 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [MATTEO]
2021-03-03 09:37:03.363 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [VARCHAR] - [null]
2021-03-03 09:37:03.363 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [3] as [BIGINT] - [37]
2021-03-03 09:37:03.366 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : delete from chat where id=?
2021-03-03 09:37:03.367 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [37]
2021-03-03 09:37:03.370 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select chat0_.id as id1_0_0_, chat0_.nickname as nickname2_0_0_, chat0_.sessione as sessione3_0_0_ from chat chat0_ where chat0_.id=?
2021-03-03 09:37:03.370 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [37]
2021-03-03 09:37:03.371 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2021-03-03 09:37:03.372 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2021-03-03 09:37:03.374 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : insert into chat (nickname, sessione, id) values (?, ?, ?)
2021-03-03 09:37:03.375 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [MATTEO]
2021-03-03 09:37:03.375 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [VARCHAR] - [37]
2021-03-03 09:37:03.375 TRACE 16528 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [3] as [BIGINT] - [38]
2021-03-03 09:37:03.378 DEBUG 16528 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select chat0_.id as id1_0_, chat0_.nickname as nickname2_0_, chat0_.sessione as sessione3_0_ from chat chat0_
2021-03-03 09:37:16.714 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select chat0_.id as id1_0_, chat0_.nickname as nickname2_0_, chat0_.sessione as sessione3_0_ from chat chat0_ where chat0_.nickname=?
2021-03-03 09:37:16.716 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [NICOLO]
2021-03-03 09:37:16.718 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2021-03-03 09:37:16.718 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2021-03-03 09:37:16.721 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : insert into chat (nickname, sessione, id) values (?, ?, ?)
2021-03-03 09:37:16.722 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [NICOLO]
2021-03-03 09:37:16.722 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [VARCHAR] - [null]
2021-03-03 09:37:16.722 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [3] as [BIGINT] - [39]
2021-03-03 09:37:16.725 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : delete from chat where id=?
2021-03-03 09:37:16.726 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [39]
2021-03-03 09:37:16.730 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select chat0_.id as id1_0_0_, chat0_.nickname as nickname2_0_0_, chat0_.sessione as sessione3_0_0_ from chat chat0_ where chat0_.id=?
2021-03-03 09:37:16.731 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [39]
2021-03-03 09:37:16.732 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2021-03-03 09:37:16.732 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2021-03-03 09:37:16.735 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : insert into chat (nickname, sessione, id) values (?, ?, ?)
2021-03-03 09:37:16.735 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [NICOLO]
2021-03-03 09:37:16.736 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [VARCHAR] - [39]
2021-03-03 09:37:16.736 TRACE 16528 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [3] as [BIGINT] - [40]
2021-03-03 09:37:16.739 DEBUG 16528 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select chat0_.id as id1_0_, chat0_.nickname as nickname2_0_, chat0_.sessione as sessione3_0_ from chat chat0_
2021-03-03 09:37:19.568 DEBUG 16528 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select chat0_.id as id1_0_, chat0_.nickname as nickname2_0_, chat0_.sessione as sessione3_0_ from chat chat0_
